date,year,month,day,cluster_i,cluster_j,node_index
1992-07-17,1992,7,17,2,1,2
1992-07-18,1992,7,18,2,1,2
1992-07-19,1992,7,19,1,1,1
1992-07-20,1992,7,20,2,1,2
1992-07-21,1992,7,21,2,2,5
1992-07-22,1992,7,22,3,2,6
1992-07-23,1992,7,23,2,2,5
1992-07-24,1992,7,24,2,2,5
1992-07-25,1992,7,25,2,2,5
1992-07-26,1992,7,26,2,2,5
1992-07-27,1992,7,27,2,2,5
1992-07-28,1992,7,28,2,1,2
1992-07-29,1992,7,29,2,1,2
1992-07-30,1992,7,30,2,2,5
1992-07-31,1992,7,31,3,1,3
1992-08-01,1992,8,1,3,1,3
1992-08-02,1992,8,2,3,1,3
1992-08-03,1992,8,3,3,1,3
1992-08-04,1992,8,4,3,1,3
1992-08-05,1992,8,5,2,3,8
1992-08-06,1992,8,6,3,2,6
1992-08-07,1992,8,7,3,2,6
1992-08-08,1992,8,8,3,2,6
1992-08-09,1992,8,9,3,3,9
1992-08-10,1992,8,10,2,3,8
1992-08-11,1992,8,11,2,3,8
1992-08-12,1992,8,12,2,3,8
1992-08-13,1992,8,13,3,3,9
1992-08-14,1992,8,14,3,3,9
1992-08-15,1992,8,15,3,3,9
1992-08-16,1992,8,16,3,3,9
1992-08-17,1992,8,17,3,2,6
1992-08-18,1992,8,18,3,3,9
1992-08-19,1992,8,19,3,3,9
1992-08-20,1992,8,20,3,3,9
1992-08-21,1992,8,21,3,3,9
1992-08-22,1992,8,22,3,2,6
1992-08-23,1992,8,23,3,2,6
1992-08-24,1992,8,24,3,2,6
1992-08-25,1992,8,25,3,2,6
1992-08-26,1992,8,26,3,2,6
1992-08-27,1992,8,27,3,3,9
1992-08-28,1992,8,28,3,3,9
1992-08-29,1992,8,29,3,3,9
1992-08-30,1992,8,30,3,3,9
1992-08-31,1992,8,31,3,2,6
1993-06-01,1993,6,1,1,2,4
1993-06-02,1993,6,2,1,2,4
1993-06-03,1993,6,3,1,3,7
1993-06-04,1993,6,4,1,3,7
1993-06-05,1993,6,5,1,3,7
1993-06-06,1993,6,6,1,3,7
1993-06-07,1993,6,7,1,3,7
1993-06-08,1993,6,8,1,3,7
1993-06-09,1993,6,9,1,3,7
1993-06-10,1993,6,10,1,3,7
1993-06-11,1993,6,11,1,3,7
1993-06-12,1993,6,12,1,3,7
1993-06-13,1993,6,13,1,3,7
1993-06-14,1993,6,14,1,3,7
1993-06-15,1993,6,15,1,3,7
1993-06-16,1993,6,16,1,3,7
1993-06-17,1993,6,17,1,3,7
1993-06-18,1993,6,18,1,3,7
1993-06-19,1993,6,19,1,3,7
1993-06-20,1993,6,20,1,3,7
1993-06-21,1993,6,21,1,3,7
1993-06-22,1993,6,22,1,1,1
1993-06-23,1993,6,23,1,1,1
1993-06-24,1993,6,24,1,1,1
1993-06-25,1993,6,25,1,1,1
1993-06-26,1993,6,26,1,1,1
1993-06-27,1993,6,27,1,1,1
1993-06-28,1993,6,28,1,1,1
1993-06-29,1993,6,29,1,1,1
1993-06-30,1993,6,30,1,1,1
1993-07-01,1993,7,1,1,1,1
1993-07-02,1993,7,2,1,1,1
1993-07-03,1993,7,3,1,2,4
1993-07-04,1993,7,4,1,1,1
1993-07-05,1993,7,5,1,1,1
1993-07-06,1993,7,6,1,1,1
1993-07-07,1993,7,7,1,1,1
1993-07-08,1993,7,8,1,1,1
1993-07-09,1993,7,9,1,3,7
1993-07-10,1993,7,10,3,3,9
1993-07-11,1993,7,11,3,3,9
1993-07-12,1993,7,12,2,2,5
1993-07-13,1993,7,13,3,1,3
1993-07-14,1993,7,14,2,1,2
1993-07-15,1993,7,15,2,1,2
1993-07-16,1993,7,16,2,1,2
1993-07-17,1993,7,17,2,1,2
1993-07-18,1993,7,18,1,1,1
1993-07-19,1993,7,19,1,1,1
1993-07-20,1993,7,20,3,1,3
1993-07-21,1993,7,21,2,1,2
1993-07-22,1993,7,22,2,1,2
1993-07-23,1993,7,23,3,3,9
1993-07-24,1993,7,24,3,3,9
1993-07-25,1993,7,25,3,3,9
1993-07-26,1993,7,26,3,3,9
1993-07-27,1993,7,27,3,3,9
1993-07-28,1993,7,28,3,3,9
1993-07-29,1993,7,29,3,3,9
1993-07-30,1993,7,30,3,3,9
1993-07-31,1993,7,31,1,3,7
1993-08-01,1993,8,1,1,3,7
1993-08-02,1993,8,2,1,3,7
1993-08-03,1993,8,3,1,3,7
1993-08-04,1993,8,4,2,3,8
1993-08-05,1993,8,5,2,3,8
1993-08-06,1993,8,6,3,3,9
1993-08-07,1993,8,7,3,3,9
1993-08-08,1993,8,8,3,3,9
1993-08-09,1993,8,9,3,3,9
1993-08-10,1993,8,10,3,3,9
1993-08-11,1993,8,11,3,3,9
1993-08-12,1993,8,12,3,3,9
1993-08-13,1993,8,13,3,3,9
1993-08-14,1993,8,14,3,3,9
1993-08-15,1993,8,15,2,3,8
1993-08-16,1993,8,16,2,2,5
1993-08-17,1993,8,17,2,2,5
1993-08-18,1993,8,18,2,2,5
1993-08-19,1993,8,19,2,2,5
1993-08-20,1993,8,20,2,2,5
1993-08-21,1993,8,21,2,2,5
1993-08-22,1993,8,22,2,2,5
1993-08-23,1993,8,23,2,2,5
1993-08-24,1993,8,24,2,2,5
1993-08-25,1993,8,25,3,2,6
1993-08-26,1993,8,26,3,2,6
1993-08-27,1993,8,27,3,2,6
1993-08-28,1993,8,28,3,2,6
1993-08-29,1993,8,29,3,2,6
1993-08-30,1993,8,30,3,2,6
1993-08-31,1993,8,31,3,2,6
1994-06-01,1994,6,1,3,3,9
1994-06-02,1994,6,2,3,3,9
1994-06-03,1994,6,3,3,1,3
1994-06-04,1994,6,4,3,1,3
1994-06-05,1994,6,5,3,1,3
1994-06-06,1994,6,6,3,1,3
1994-06-07,1994,6,7,1,2,4
1994-06-08,1994,6,8,1,2,4
1994-06-09,1994,6,9,1,2,4
1994-06-10,1994,6,10,1,3,7
1994-06-11,1994,6,11,1,3,7
1994-06-12,1994,6,12,1,3,7
1994-06-13,1994,6,13,1,3,7
1994-06-14,1994,6,14,1,3,7
1994-06-15,1994,6,15,1,3,7
1994-06-16,1994,6,16,1,3,7
1994-06-17,1994,6,17,1,3,7
1994-06-18,1994,6,18,1,3,7
1994-06-19,1994,6,19,1,3,7
1994-06-20,1994,6,20,1,3,7
1994-06-21,1994,6,21,1,3,7
1994-06-22,1994,6,22,1,3,7
1994-06-23,1994,6,23,1,1,1
1994-06-24,1994,6,24,1,1,1
1994-06-25,1994,6,25,1,1,1
1994-06-26,1994,6,26,1,1,1
1994-06-27,1994,6,27,2,1,2
1994-06-28,1994,6,28,2,1,2
1994-06-29,1994,6,29,2,1,2
1994-06-30,1994,6,30,2,1,2
1994-07-01,1994,7,1,2,1,2
1994-07-02,1994,7,2,2,1,2
1994-07-03,1994,7,3,2,1,2
1994-07-04,1994,7,4,2,2,5
1994-07-05,1994,7,5,2,2,5
1994-07-06,1994,7,6,2,2,5
1994-07-07,1994,7,7,2,3,8
1994-07-08,1994,7,8,2,3,8
1994-07-09,1994,7,9,3,3,9
1994-07-10,1994,7,10,3,3,9
1994-07-11,1994,7,11,3,3,9
1994-07-12,1994,7,12,2,3,8
1994-07-13,1994,7,13,2,3,8
1994-07-14,1994,7,14,2,3,8
1994-07-15,1994,7,15,2,3,8
1994-07-16,1994,7,16,2,3,8
1994-07-17,1994,7,17,2,3,8
1994-07-18,1994,7,18,2,3,8
1994-07-19,1994,7,19,2,3,8
1994-07-20,1994,7,20,2,3,8
1994-07-21,1994,7,21,2,3,8
1994-07-22,1994,7,22,2,3,8
1994-07-23,1994,7,23,2,3,8
1994-07-24,1994,7,24,2,3,8
1994-07-25,1994,7,25,2,3,8
1994-07-26,1994,7,26,2,3,8
1994-07-27,1994,7,27,3,3,9
1994-07-28,1994,7,28,3,3,9
1994-07-29,1994,7,29,3,3,9
1994-07-30,1994,7,30,3,3,9
1994-07-31,1994,7,31,3,3,9
1994-08-01,1994,8,1,3,2,6
1994-08-02,1994,8,2,3,2,6
1994-08-03,1994,8,3,3,2,6
1994-08-04,1994,8,4,3,2,6
1994-08-05,1994,8,5,3,2,6
1994-08-06,1994,8,6,3,2,6
1994-08-07,1994,8,7,3,2,6
1994-08-08,1994,8,8,2,2,5
1994-08-09,1994,8,9,2,2,5
1994-08-10,1994,8,10,2,2,5
1994-08-11,1994,8,11,2,2,5
1994-08-12,1994,8,12,2,3,8
1994-08-13,1994,8,13,2,3,8
1994-08-14,1994,8,14,2,3,8
1994-08-15,1994,8,15,2,3,8
1994-08-16,1994,8,16,2,3,8
1994-08-17,1994,8,17,2,3,8
1994-08-18,1994,8,18,2,3,8
1994-08-19,1994,8,19,2,3,8
1994-08-20,1994,8,20,2,3,8
1994-08-21,1994,8,21,2,3,8
1994-08-22,1994,8,22,2,3,8
1994-08-23,1994,8,23,2,3,8
1994-08-24,1994,8,24,2,3,8
1994-08-25,1994,8,25,2,3,8
1994-08-26,1994,8,26,2,3,8
1994-08-27,1994,8,27,2,3,8
1994-08-28,1994,8,28,2,3,8
1994-08-29,1994,8,29,2,3,8
1994-08-30,1994,8,30,2,3,8
1994-08-31,1994,8,31,2,3,8
1995-06-01,1995,6,1,2,1,2
1995-06-02,1995,6,2,2,1,2
1995-06-03,1995,6,3,1,1,1
1995-06-04,1995,6,4,1,2,4
1995-06-05,1995,6,5,1,1,1
1995-06-06,1995,6,6,1,1,1
1995-06-07,1995,6,7,1,1,1
1995-06-08,1995,6,8,1,2,4
1995-06-09,1995,6,9,1,1,1
1995-06-10,1995,6,10,1,3,7
1995-06-11,1995,6,11,1,3,7
1995-06-12,1995,6,12,1,2,4
1995-06-13,1995,6,13,1,2,4
1995-06-14,1995,6,14,1,2,4
1995-06-15,1995,6,15,1,2,4
1995-06-16,1995,6,16,1,2,4
1995-06-17,1995,6,17,1,3,7
1995-06-18,1995,6,18,1,2,4
1995-06-19,1995,6,19,1,2,4
1995-06-20,1995,6,20,1,1,1
1995-06-21,1995,6,21,1,3,7
1995-06-22,1995,6,22,1,3,7
1995-06-23,1995,6,23,1,3,7
1995-06-24,1995,6,24,1,1,1
1995-06-25,1995,6,25,1,1,1
1995-06-26,1995,6,26,1,1,1
1995-06-27,1995,6,27,1,1,1
1995-06-28,1995,6,28,1,1,1
1995-06-29,1995,6,29,1,2,4
1995-06-30,1995,6,30,1,2,4
1995-07-01,1995,7,1,1,2,4
1995-07-02,1995,7,2,1,2,4
1995-07-03,1995,7,3,1,2,4
